Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL137,METRONIDAZOLE,4,171.16,0.0,0.09,Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,FC,'=',1000.0,,,,,,,,,,False,CHEMBL1004988,"Antigiardial activity against Giardia lamblia GS/M trophozoites infected in C57BL/6 mouse assessed as reduction in live trophozoite number in small intestine at 10 mg/kg, po administered as 5 doses for 3 days relative to control",F,BAO_0000218,organism-based format,Giardia intestinalis,CHEMBL3638239,Small intestine,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL500893,,0,273.25,0.0,2.23,27,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccc2c(c1)OCO2,EC50,'=',69.18,nM,7.16,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497424,,0,263.68,0.0,3.15,15,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccc(Cl)cc1,EC50,'=',36.31,nM,7.44,,,UO_0000065,,,,,False,CHEMBL1004983,Antigiardial activity against metronidazole-resistant Giardia lamblia isolate 713 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL443874,,0,467.94,0.0,4.66,33,Cn1c([N+](=O)[O-])cnc1C(Br)C(Br)c1ccc(Br)cc1,EC50,'=',181.97,nM,6.74,,,UO_0000065,,,,,False,CHEMBL1004983,Antigiardial activity against metronidazole-resistant Giardia lamblia isolate 713 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL442901,,0,243.27,0.0,2.81,7,Cc1cccc(/C=C/c2ncc([N+](=O)[O-])n2C)c1,EC50,'=',40.0,nM,7.4,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497427,,0,308.13,0.0,3.26,11,Cn1c([N+](=O)[O-])cnc1/C=C/c1cccc(Br)c1,EC50,'=',47.0,nM,7.33,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497429,,0,263.68,0.0,3.15,14,Cn1c([N+](=O)[O-])cnc1/C=C/c1cccc(Cl)c1,EC50,'=',22.0,nM,7.66,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL450304,,0,355.13,0.0,3.1,17,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccccc1I,EC50,'=',60.0,nM,7.22,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497433,,0,305.34,0.0,4.17,24,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccccc1-c1ccccc1,EC50,'=',1230.27,nM,5.91,,,UO_0000065,,,,,False,CHEMBL1004994,Antigiardial activity against metronidazole-sensitive Giardia lamblia isolate 106 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL443874,,0,467.94,0.0,4.66,33,Cn1c([N+](=O)[O-])cnc1C(Br)C(Br)c1ccc(Br)cc1,EC50,'=',2884.03,nM,5.54,,,UO_0000065,,,,,False,CHEMBL1004994,Antigiardial activity against metronidazole-sensitive Giardia lamblia isolate 106 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497424,,0,263.68,0.0,3.15,15,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccc(Cl)cc1,Ratio EC50,'=',4.06,,,,,,,,,,False,CHEMBL1001495,Resistance ratio of EC50 for metronidazole-resistant Giardia lamblia isolate 713 to EC50 for metronidazole-sensitive Giardia lamblia isolate 713,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL501842,,0,219.2,0.0,2.09,29,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccco1,Ratio EC50,'=',23.95,,,,,,,,,,False,CHEMBL1001495,Resistance ratio of EC50 for metronidazole-resistant Giardia lamblia isolate 713 to EC50 for metronidazole-sensitive Giardia lamblia isolate 713,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL501780,,0,231.25,0.0,2.11,40,Cn1c([N+](=O)[O-])cnc1CCc1ccccc1,Ratio EC50,'=',14.73,,,,,,,,,,False,CHEMBL1004984,Resistance ratio of EC50 for metronidazole-resistant Giardia lamblia isolate 106 to EC50 for metronidazole-sensitive Giardia lamblia isolate 106,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497227,,0,247.23,0.0,2.64,19,Cn1c([N+](=O)[O-])cnc1/C=C/c1cccc(F)c1,Activity,,,,,,Active,,,,,,False,CHEMBL1004988,"Antigiardial activity against Giardia lamblia GS/M trophozoites infected in C57BL/6 mouse assessed as reduction in live trophozoite number in small intestine at 10 mg/kg, po administered as 5 doses for 3 days relative to control",F,BAO_0000218,organism-based format,Giardia intestinalis,CHEMBL3638239,Small intestine,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL496831,,0,277.28,0.0,1.4,34,Cc1ccc(C(O)C(O)c2ncc([N+](=O)[O-])n2C)cc1,EC50,'=',831.76,nM,6.08,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL524984,,0,308.13,0.0,3.26,10,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccccc1Br,EC50,'=',48.98,nM,7.31,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497429,,0,263.68,0.0,3.15,14,Cn1c([N+](=O)[O-])cnc1/C=C/c1cccc(Cl)c1,EC50,'=',21.88,nM,7.66,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL522246,,0,259.27,0.0,2.51,20,COc1cccc(/C=C/c2ncc([N+](=O)[O-])n2C)c1,EC50,'=',154.88,nM,6.81,,,UO_0000065,,,,,False,CHEMBL1004985,Antigiardial activity against Giardia lamblia trophozoites isolates after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497427,,0,308.13,0.0,3.26,11,Cn1c([N+](=O)[O-])cnc1/C=C/c1cccc(Br)c1,EC50,'=',42.66,nM,7.37,,,UO_0000065,,,,,False,CHEMBL1004993,Antigiardial activity against metronidazole-resistant Giardia lamblia isolate 106 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL522244,,0,233.23,0.0,1.23,28,Cn1ccnc1/C=C/c1ncc([N+](=O)[O-])n1C,Ratio EC50,'=',22.96,,,,,,,,,,False,CHEMBL1001495,Resistance ratio of EC50 for metronidazole-resistant Giardia lamblia isolate 713 to EC50 for metronidazole-sensitive Giardia lamblia isolate 713,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497432,,0,331.37,0.0,3.57,23,CCOC(OCC)c1ccc(/C=C/c2ncc([N+](=O)[O-])n2C)cc1,EC50,'=',64.57,nM,7.19,,,UO_0000065,,,,,False,CHEMBL1004993,Antigiardial activity against metronidazole-resistant Giardia lamblia isolate 106 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL497227,,0,247.23,0.0,2.64,19,Cn1c([N+](=O)[O-])cnc1/C=C/c1cccc(F)c1,EC50,'=',123.03,nM,6.91,,,UO_0000065,,,,,False,CHEMBL1004992,Antigiardial activity against metronidazole-sensitive Giardia lamblia isolate 713 trophozoite after 2 days by bactiter-glo viability assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1137002,1,Scientific Literature,J. Med. Chem.,2009,
CHEMBL1401,NITAZOXANIDE,4,307.29,0.0,2.23,"NIT, Alinia",CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,IC50,'=',1214.0,nM,5.92,,,UO_0000065,,,,,False,CHEMBL1781690,Antiprotozoan activity against Giardia intestinalis IMSS:0696:1 trophozoites after 48 hrs,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1777759,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL1928412,,0,558.73,2.0,9.35,20,c1ccc2[nH]c(-c3ccc(OCCCCCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,IC50,'=',22080.0,nM,4.66,,,UO_0000065,,,,,False,CHEMBL1931747,Antiprotozoal activity against Giardia intestinalis G1 after 70 hrs by resazurin-based spectrophotometric assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1926599,1,Scientific Literature,Bioorg. Med. Chem.,2011,
CHEMBL1928420,,0,544.7,2.0,8.96,29,c1cc(OCCCCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,IC50,'=',45530.0,nM,4.34,,,UO_0000065,,,,,False,CHEMBL1931747,Antiprotozoal activity against Giardia intestinalis G1 after 70 hrs by resazurin-based spectrophotometric assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1926599,1,Scientific Literature,Bioorg. Med. Chem.,2011,
CHEMBL137,METRONIDAZOLE,4,171.16,0.0,0.09,Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,IC50,'=',1220.0,nM,5.91,,,UO_0000065,,,,,False,CHEMBL857381,In vitro antiprotozoal activity against Giardia lamblia,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1133780,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2001,
CHEMBL71706,,0,219.1,0.0,3.16,16,Sc1nc2cc(Cl)c(Cl)cc2[nH]1,IC50,'=',78.0,nM,7.11,,,UO_0000065,,,,,False,CHEMBL682614,"The compound was tested in vitro against the protozoa Giardia lamblia, for the inhibition of tubulin polymerization in rat brain",F,BAO_0000218,organism-based format,Giardia intestinalis,CHEMBL3638188,Brain,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1134873,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,
CHEMBL241258,,0,245.28,0.0,-1.45,13,C=CC[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O,Inhibition,'=',9.7,%,,,,UO_0000187,,,,,False,CHEMBL903458,Antiprotozoal activity against Giardia lamblia WB6 assessed as inhibition of cyst formation at 10 uM after 4 days relative to control,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1139123,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,
CHEMBL1928246,,0,530.67,2.0,8.57,18,c1ccc2[nH]c(-c3ccc(OCCCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,IC50,'=',10440.0,nM,4.98,,,UO_0000065,,,,,False,CHEMBL1931747,Antiprotozoal activity against Giardia intestinalis G1 after 70 hrs by resazurin-based spectrophotometric assay,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1926599,1,Scientific Literature,Bioorg. Med. Chem.,2011,
CHEMBL309135,,0,132.17,0.0,1.87,1,Cc1nc2ccccc2[nH]1,IC50,'=',317.0,nM,6.5,,,UO_0000065,,,,,False,CHEMBL682614,"The compound was tested in vitro against the protozoa Giardia lamblia, for the inhibition of tubulin polymerization in rat brain",F,BAO_0000218,organism-based format,Giardia intestinalis,CHEMBL3638188,Brain,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1134873,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,
CHEMBL232717,,0,267.26,0.0,1.41,8a,CCOP(=O)(CCNCCOC(C)=O)OCC,MIC,'>',20000.0,nM,,,,UO_0000065,,,,,False,CHEMBL893426,Antiprotozoal activity against Giardia lamblia WB6 trophozoites after 48 hrs,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1147902,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,
CHEMBL233752,,0,537.46,2.0,-2.34,10d,CC(=O)OCCN(CCOC(C)=O)CCP(=O)(O)OC[C@H]1O[C@@H](Cn2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O,Inhibition,'=',27.4,%,,,,UO_0000187,,,,,False,CHEMBL893425,Inhibition of cyst formation in Giardia lamblia WB6 at 10 uM relative to control,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1147902,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,
CHEMBL232717,,0,267.26,0.0,1.41,8a,CCOP(=O)(CCNCCOC(C)=O)OCC,Inhibition,,,,,,Not Determined,,,,,,False,CHEMBL893425,Inhibition of cyst formation in Giardia lamblia WB6 at 10 uM relative to control,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1147902,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,
CHEMBL233751,,0,453.39,2.0,-3.49,10b,O=c1ccn(C[C@@H]2O[C@H](COP(=O)(O)CCN(CCO)CCO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Inhibition,'=',72.2,%,,,,UO_0000187,,,,,False,CHEMBL893425,Inhibition of cyst formation in Giardia lamblia WB6 at 10 uM relative to control,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1147902,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,
CHEMBL234963,,0,419.37,0.0,-1.68,10g,O=c1ccn(C[C@@H]2O[C@H](COP(=O)(O)CCN3CCCC3)[C@@H](O)[C@H]2O)c(=O)[nH]1,Inhibition,,,,,,Not Determined,,,,,,False,CHEMBL893425,Inhibition of cyst formation in Giardia lamblia WB6 at 10 uM relative to control,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1147902,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,
CHEMBL137,METRONIDAZOLE,4,171.16,0.0,0.09,Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,IC50,'=',1220.0,nM,5.91,,,UO_0000065,,,,,False,CHEMBL682614,"The compound was tested in vitro against the protozoa Giardia lamblia, for the inhibition of tubulin polymerization in rat brain",F,BAO_0000218,organism-based format,Giardia intestinalis,CHEMBL3638188,Brain,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1134873,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,
CHEMBL238755,,0,249.26,0.0,-2.64,14,CC(=O)N[C@H]1[C@@H](CCO)O[C@H](CO)[C@@H](O)[C@@H]1O,MIC,'=',3900.0,nM,,,,UO_0000065,,,,,False,CHEMBL903457,Antiprotozoal activity against Giardia lamblia WB6 trophozoites after 48 hrs,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1139123,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,
CHEMBL267684,XUXARINE EBETA,0,929.25,2.0,11.84,7,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)[C@]6(O)Oc7cc8c(cc7O[C@]56C)C(=O)C=C5[C@@]6(C)CC[C@@]7(C)CC[C@@](C)(C(=O)OC)C[C@H]7[C@]6(C)CC[C@]58C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,IC50,'=',11300.0,nM,4.95,,,UO_0000065,,,,,False,CHEMBL917002,Antiprotozoal activity against Giardia intestinalis IMSS:0696:1 trophozoites after 48 hrs,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1147124,1,Scientific Literature,J. Nat. Prod.,2007,
CHEMBL394776,,0,479.34,2.0,-4.68,23,O=C1[C@@H](O)[C@H](O)C(=O)N1CCP(=O)(O)OC[C@H]1O[C@@H](Cn2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O,Inhibition,'=',28.7,%,,,,UO_0000187,,,,,False,CHEMBL893425,Inhibition of cyst formation in Giardia lamblia WB6 at 10 uM relative to control,F,BAO_0000218,organism-based format,Giardia intestinalis,,,,,CHEMBL612652,Giardia intestinalis,Giardia intestinalis,ORGANISM,CHEMBL1147902,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,
