Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL1086997,LUCERASTAT,3,219.28,0,-1.45,21,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,IC50,'=',10000.0,nM,5.0,,,UO_0000065,22.8,0.46,6.45,5.94,True,CHEMBL1099879,Inhibition of GCS by cell-based assay,B,BAO_0000219,cell-based format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1154826,1,Scientific Literature,J. Med. Chem.,2010,
CHEMBL2024682,,0,385.66,1,6.07,RBM2-1D,CCCCCCCCCCCCCS/C=C/[C@H](CO)NC(=O)C(C)(C)C,Inhibition,,,,,,Not Active,,,,,,False,CHEMBL2026170,Inhibition of GlcCer synthase in human A549 cells using CerC6NBD as substrate preincubated for 24 hrs prior substrate addition measured after 3 hrs by HPLC-FD analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2021903,1,Scientific Literature,Bioorg. Med. Chem.,2012,CHEMBL3307651
CHEMBL3216774,,0,377.35,1,-0.52,1,CCCCCCCCCN[C@@H]1[C@H](N)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O.Cl.Cl,Inhibition,,,,,,Not Active,,,,,,False,CHEMBL2015468,Inhibition of glucosylceramide synthase in human A549 cells at 250 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2010653,1,Scientific Literature,ACS Med. Chem. Lett.,2011,CHEMBL3307651
CHEMBL1911810,,0,502.62,1,3.58,16g,Cc1ccc(Oc2ncccc2C(=O)N[C@H](COCc2ccccc2)C(=O)N2CCN(C)CC2)cc1C,IC50,'=',1080.0,nM,5.97,,,UO_0000065,11.87,0.22,2.39,7.1,False,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL416418,,0,390.57,0,3.68,1,CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1,IC50,'=',23000.0,nM,4.64,,,UO_0000065,11.88,0.23,0.96,7.51,False,CHEMBL682320,Compound tested for inhibitory activity against glucosylceramide synthase enzyme,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1152055,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997,
CHEMBL56112,,0,480.65,1,1.4,5d,CCCCCCCCCC(=O)N[C@@H](CNC1CC(CO)C(O)C(O)C1O)[C@H](O)c1ccccc1,IC50,,,,,,No inhibition,,,,,,False,CHEMBL682321,Compound tested for inhibitory activity against glucosylceramide synthase enzyme at a concentration of 1.0*10e-4M; no inhibitory activity,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1152055,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997,
CHEMBL2115476,,0,478.63,1,1.32,6a,CCCCCCCCCC(=O)N[C@H](CN[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@H](O)c1ccccc1,IC50,,,,,,No inhibition,,,,,,False,CHEMBL682321,Compound tested for inhibitory activity against glucosylceramide synthase enzyme at a concentration of 1.0*10e-4M; no inhibitory activity,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1152055,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997,
CHEMBL3350143,,0,478.63,1,1.32,4d,CCCCCCCCCC(=O)N[C@@H](CN[C@@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@H](O)c1ccccc1,IC50,,,,,,No inhibition,,,,,,False,CHEMBL682321,Compound tested for inhibitory activity against glucosylceramide synthase enzyme at a concentration of 1.0*10e-4M; no inhibitory activity,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1152055,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997,
CHEMBL1911683,,0,474.56,0,2.96,16b,CN1CCN(C(=O)[C@@H](COCc2ccccc2)NC(=O)c2cccnc2Oc2ccccc2)CC1,IC50,'=',1150.0,nM,5.94,,,UO_0000065,12.52,0.23,2.98,7.07,False,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL1911680,,0,509.01,1,3.62,10,CN1CCN(C(=O)[C@@H](COCc2ccccc2)NC(=O)c2cccnc2Oc2ccc(Cl)cc2)CC1,IC50,'=',32.0,nM,7.5,,,UO_0000065,14.72,0.28,3.87,8.92,False,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL1911818,,0,635.04,1,4.41,18a,CN1CCN(C(=O)[C@@H](COCc2ccc3c(c2)OCCO3)NC(=O)c2cccnc2Oc2ccc(C(F)(F)F)cc2Cl)CC1,IC50,'=',1.0,nM,9.0,,,UO_0000065,14.17,0.28,4.59,8.78,False,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL1911830,,0,603.04,2,5.07,23f,O=C(N[C@H](COCc1ccccc1)C(=O)N[C@H]1CN2CCC1CC2)c1cccnc1Oc1ccc(C(F)(F)F)cc1Cl,IC50,'=',12.0,nM,7.92,,,UO_0000065,13.13,0.26,2.85,8.54,False,CHEMBL1912403,Inhibition of GCS activity in human A549 cells assessed as amount of GM1 on the cell membrane after 72 hrs by FL-CTB-based fluorescent microscopy,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,CHEMBL3307651
CHEMBL574645,,0,397.56,0,1.15,"5, AMP-DNM",OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,IC50,'=',90.0,nM,7.05,,,UO_0000065,17.72,0.34,5.9,7.54,True,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL1911820,,0,581.98,1,3.93,18c,Cc1ncc(COC[C@@H](NC(=O)c2cccnc2Oc2ccc(C(F)(F)F)cc2Cl)C(=O)N2CCN(C)CC2)o1,IC50,'=',50.0,nM,7.3,,,UO_0000065,12.55,0.25,3.37,6.64,False,CHEMBL1912403,Inhibition of GCS activity in human A549 cells assessed as amount of GM1 on the cell membrane after 72 hrs by FL-CTB-based fluorescent microscopy,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,CHEMBL3307651
CHEMBL1911678,,0,418.58,0,3.82,"6, Genz-123346",CCCCCCCCC(=O)N[C@@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,IC50,'=',2.0,nM,8.7,,,UO_0000065,20.78,0.4,4.88,12.25,True,CHEMBL1912403,Inhibition of GCS activity in human A549 cells assessed as amount of GM1 on the cell membrane after 72 hrs by FL-CTB-based fluorescent microscopy,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,CHEMBL3307651
CHEMBL1911686,,0,543.45,1,4.27,16e,CN1CCN(C(=O)[C@@H](COCc2ccccc2)NC(=O)c2cccnc2Oc2c(Cl)cccc2Cl)CC1,IC50,'=',340.0,nM,6.47,,,UO_0000065,11.9,0.24,2.2,7.7,False,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL3216319,,0,503.6,1,2.86,2,CCCCCCCCCN[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1NCCCCCCCCC.Cl.Cl,Inhibition,'=',73.0,%,,,,UO_0000187,,,,,False,CHEMBL2015468,Inhibition of glucosylceramide synthase in human A549 cells at 250 uM after 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2010653,1,Scientific Literature,ACS Med. Chem. Lett.,2011,CHEMBL3307651
CHEMBL2163835,,0,515.27,1,4.49,21,O=C([C@H](Cc1ccc(Cl)cc1Cl)NC(=O)C1(c2ccc(Cl)cc2Cl)CC1)N1CCNCC1,IC50,,,,,,Not Determined,,,,,,False,CHEMBL2167349,Inhibition of GCS in human A549 cells assessed as decrease in GM1 synthesis after 72 hrs by Fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3307651
CHEMBL2163830,,0,490.43,0,3.5,11,CN1CCN(C(=O)[C@H](COCc2ccccc2)NC(=O)C2(c3ccc(Cl)cc3Cl)CC2)CC1,IC50,'=',90.0,nM,7.05,,,UO_0000065,14.37,0.29,3.55,11.39,False,CHEMBL2167350,Inhibition of GCS assessed as amount of UDP glucose after 3 hrs by Fluorometry analysis,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,
CHEMBL3114062,,0,399.58,0,4.92,406,CCCCCCCCCC/C=C/C=C/C(=O)[C@H](CO)NC(=O)Cc1ccccc1,Ratio,'=',0.6,,,,,,,,,,False,CHEMBL3117002,Inhibition of GCS in human OVCAR8 cells assessed as decrease in ratio of glucosylceramide to ceramide level at IC50 after 4 hrs by TLC assay,B,BAO_0000219,cell-based format,Homo sapiens,,,OVCAR-8,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL3112569,1,Scientific Literature,Bioorg. Med. Chem.,2014,CHEMBL3307975
CHEMBL34780,,0,474.73,1,6.49,Text compound,CCCCCCCCCCCCCCCC(=O)NC(CN1CCCC1)C(O)c1ccc(O)cc1,IC50,'=',90.0,nM,7.05,,,UO_0000065,14.84,0.28,0.56,9.68,False,CHEMBL682319,Inhibitory concentration against glucosylceramide synthase in MDCK cell line,B,BAO_0000219,cell-based format,Canis lupus familiaris,,,MDCK,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1147630,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2004,CHEMBL3308370
CHEMBL2163834,,0,539.3,1,4.29,20,CN1CCN(C(=O)[C@H](Cc2ccc(Br)cc2)NC(=O)C2(c3ccc(Cl)cc3Cl)CC2)CC1,IC50,'=',7.0,nM,8.15,,,UO_0000065,15.12,0.35,3.86,15.49,False,CHEMBL2167350,Inhibition of GCS assessed as amount of UDP glucose after 3 hrs by Fluorometry analysis,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,
CHEMBL1766473,,0,408.5,1,-1.23,1[7],O[C@H]1[C@H](NCc2cn(CC34CC5CC(CC(C5)C3)C4)nn2)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Inhibition,'=',32.0,%,,,,UO_0000187,,,,,False,CHEMBL1769095,Inhibition of glucosylceramide synthase in human A549 cells at 250 uM after 35 mins by fluorometric analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1764970,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3307651
CHEMBL2163828,,0,580.45,1,4.59,"32, EXEL-0346",NC1C[C@@H]2CC[C@H](C1)N2C(=O)[C@H](Cc1ccc(Br)cc1)NC(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,IC50,'=',15.0,nM,7.82,,,UO_0000065,13.48,0.29,3.23,9.24,False,CHEMBL2167349,Inhibition of GCS in human A549 cells assessed as decrease in GM1 synthesis after 72 hrs by Fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3307651
CHEMBL2163826,,0,565.34,1,5.0,30,NC1C[C@@H]2CC[C@H](C1)N2C(=O)[C@H](Cc1ccc(Br)cc1)NC(=O)C1(c2ccc(Cl)cc2Cl)CC1,IC50,'=',3.0,nM,8.52,,,UO_0000065,15.08,0.34,3.52,11.3,False,CHEMBL2167350,Inhibition of GCS assessed as amount of UDP glucose after 3 hrs by Fluorometry analysis,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,
CHEMBL2163825,,0,555.33,2,5.54,29,NC1C[C@@H]2CC[C@H](C1)N2C(=O)[C@H](Cc1ccc(Cl)cc1Cl)NC(=O)C1(c2ccc(Cl)cc2Cl)CC1,IC50,'=',4.0,nM,8.4,,,UO_0000065,15.12,0.33,2.86,11.13,False,CHEMBL2167350,Inhibition of GCS assessed as amount of UDP glucose after 3 hrs by Fluorometry analysis,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,
CHEMBL1029,MIGLUSTAT,4,219.28,0,-1.45,4,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,IC50,'=',22000.0,nM,4.66,,,UO_0000065,21.24,0.42,6.11,5.53,False,CHEMBL2167350,Inhibition of GCS assessed as amount of UDP glucose after 3 hrs by Fluorometry analysis,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,
CHEMBL2163821,,0,499.44,0,4.01,8,CN1CCN(C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C2(c3ccc(Cl)cc3Cl)CC2)CC1,IC50,'=',2.0,nM,8.7,,,UO_0000065,17.42,0.35,4.69,12.71,False,CHEMBL2167350,Inhibition of GCS assessed as amount of UDP glucose after 3 hrs by Fluorometry analysis,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,
CHEMBL2163826,,0,565.34,1,5.0,30,NC1C[C@@H]2CC[C@H](C1)N2C(=O)[C@H](Cc1ccc(Br)cc1)NC(=O)C1(c2ccc(Cl)cc2Cl)CC1,IC50,'=',40.0,nM,7.4,,,UO_0000065,13.09,0.3,2.4,9.81,False,CHEMBL2167349,Inhibition of GCS in human A549 cells assessed as decrease in GM1 synthesis after 72 hrs by Fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3307651
CHEMBL2163838,,0,531.31,2,5.08,24,CN(C)CCN(C)C(=O)[C@H](Cc1ccc(Cl)cc1Cl)NC(=O)C1(c2ccc(Cl)cc2Cl)CC1,IC50,'=',120.0,nM,6.92,,,UO_0000065,13.03,0.29,1.84,13.14,False,CHEMBL2167349,Inhibition of GCS in human A549 cells assessed as decrease in GM1 synthesis after 72 hrs by Fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,A549,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL2163189,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3307651
CHEMBL1911820,,0,581.98,1,3.93,18c,Cc1ncc(COC[C@@H](NC(=O)c2cccnc2Oc2ccc(C(F)(F)F)cc2Cl)C(=O)N2CCN(C)CC2)o1,IC50,'=',20.0,nM,7.7,,,UO_0000065,13.23,0.26,3.77,7.0,False,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL1911819,,0,594.99,1,4.77,18b,CN1CCN(C(=O)[C@@H](COCc2ccc(F)cc2)NC(=O)c2cccnc2Oc2ccc(C(F)(F)F)cc2Cl)CC1,IC50,'=',7.0,nM,8.15,,,UO_0000065,13.71,0.27,3.38,9.71,False,CHEMBL1912402,Inhibition of GCS assessed as amount of UDP-glucose consumed during enzyme-catalyzed reaction,B,BAO_0000357,single protein format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1909535,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,
CHEMBL3596251,,0,607.02,2,9.9,"Figure 6, (2R,3R)",CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](CN1CCOCC1)NC(=O)CCCCCCCCCCCCCCC,Inhibition,'=',73.0,%,,,,UO_0000187,,,,,False,CHEMBL3599364,Inhibition of glucosylceramide synthase (unknown origin) at 5 uM,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL3596159,1,Scientific Literature,MedChemComm,2014,
CHEMBL1561,MIGLITOL,4,207.23,0,-3.26,"3, Miglitol",OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,IC50,'>',1000000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL1099879,Inhibition of GCS by cell-based assay,B,BAO_0000219,cell-based format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1154826,1,Scientific Literature,J. Med. Chem.,2010,
CHEMBL175901,,0,163.17,0,-2.97,14,OC[C@@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',9000.0,nM,5.05,,,UO_0000065,30.92,0.63,8.02,5.43,False,CHEMBL1099879,Inhibition of GCS by cell-based assay,B,BAO_0000219,cell-based format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1154826,1,Scientific Literature,J. Med. Chem.,2010,
CHEMBL1088292,,0,397.56,0,1.15,29,OC[C@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1099879,Inhibition of GCS by cell-based assay,B,BAO_0000219,cell-based format,,,,,,CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1154826,1,Scientific Literature,J. Med. Chem.,2010,
